Record_ID,Customer_ID,Employee_ID,Order_ID,Transaction_Date,Region,City,Department,Category,Product,Sales,Profit,Quantity,Unit_Price,Discount_Percent,Cost,Salary,Experience_Years,Age,Rating,Gender,Status,Payment_Method,Customer_Type,Priority,Channel,Education,Contract_Type,Feedback,Country,Zone,Manager,Supplier,Brand,Segment,Risk_Level,Delivery_Status,Membership,Source,Metric_01,Metric_02,Metric_03,Metric_04,Metric_05,Metric_06,Metric_07,Metric_08,Metric_09,Metric_10,Metric_11,Metric_12,Metric_13,Metric_14,Metric_15,Metric_16,Metric_17,Metric_18,Metric_19,Metric_20
76,CUST1076,EMP176,ORD5076,2025-01-15,Central,Delhi,Finance,Beauty,Headphones,71898.43,7082.93,93,38648.56,18.43,69060.76,147930.2,5.7,53,2.9,Male,Completed,UPI,Regular,High,Mobile App,Master,Contract,Poor,India,Zone D,Manager_16,Supplier_1,Brand A,Consumer,Medium,Delivered,Silver,Referral,774.72,226.27,464.14,237.31,119.3,209.74,667.76,343.27,744.19,986.88,889.96,850.51,708.6,773.96,429.94,511.21,236.64,785.0,669.2,740.86
107,CUST1107,EMP127,ORD5107,2025-01-15,South,Delhi,Operations,Clothing,Rice,69640.8,15386.5,73,9538.04,2.63,21510.44,79905.53,0.7,26,2.2,Female,Pending,Net Banking,New,Critical,Mobile App,PhD,Permanent,Average,India,Zone B,Manager_7,Supplier_2,Brand B,Small Business,Medium,Delivered,Basic,Referral,70.81,604.07,977.18,269.83,149.26,433.73,688.4,609.12,968.3,111.55,734.0,478.44,62.05,342.9,121.42,665.53,241.71,496.78,943.8,863.01
357,CUST1357,EMP137,ORD5357,2025-01-16,Central,Kolkata,IT,Clothing,Rice,46963.32,15120.27,38,39031.44,4.59,22051.66,102644.48,5.8,43,2.5,Male,Cancelled,Net Banking,New,Critical,Online,Bachelor,Permanent,Excellent,India,Zone A,Manager_17,Supplier_12,Brand E,Small Business,Medium,Cancelled,Gold,Advertisement,119.25,359.16,862.27,190.72,304.44,65.26,79.92,250.5,337.47,564.34,424.24,816.13,642.73,843.64,767.74,365.34,328.08,136.78,537.49,494.43
247,CUST1247,EMP107,ORD5247,2025-01-17,West,Kolkata,Finance,Grocery,Chair,60410.64,10045.46,16,6980.47,13.03,58565.82,26182.2,2.9,58,2.1,Other,Returned,Debit Card,Premium,Critical,Store,Bachelor,Part-time,Excellent,India,Zone B,Manager_7,Supplier_7,Brand E,Consumer,High,In Transit,Platinum,Social Media,153.97,793.77,140.27,70.53,15.41,984.25,333.46,376.37,197.85,24.77,294.43,914.23,779.84,961.12,233.26,470.69,300.69,168.11,33.64,751.56
270,CUST1270,EMP130,ORD5270,2025-01-18,West,Delhi,Marketing,Clothing,Rice,82069.88,-2836.67,3,33992.04,18.37,13098.71,74245.13,14.3,54,1.6,Female,Cancelled,Net Banking,Premium,High,Store,Diploma,Part-time,Good,India,Zone A,Manager_10,Supplier_15,Brand D,Corporate,Medium,Delayed,Gold,Direct,549.99,397.45,111.6,843.67,875.19,716.71,774.72,3.65,449.66,83.96,461.53,705.65,37.98,618.05,903.32,616.46,912.03,478.17,63.84,660.83
403,CUST1403,EMP103,ORD5403,2025-01-19,North,Jaipur,Marketing,Beauty,Laptop,41871.85,18519.62,37,412.25,5.1,21046.84,47624.05,4.3,50,2.6,Other,Returned,Net Banking,New,Medium,Store,Bachelor,Contract,Average,India,Zone A,Manager_3,Supplier_13,Brand A,Consumer,High,Delayed,Silver,Referral,215.54,101.15,103.3,254.25,719.27,443.29,838.18,679.68,502.29,12.19,725.31,123.09,796.6,85.47,972.93,316.5,3.6,689.69,754.43,568.8
287,CUST1287,EMP147,ORD5287,2025-01-20,North,Jaipur,IT,Grocery,Watch,81013.73,-1906.36,20,34697.42,6.59,44036.79,160983.7,6.9,25,2.7,Female,Completed,Credit Card,New,Critical,Mobile App,Diploma,Part-time,Good,India,Zone D,Manager_7,Supplier_2,Brand C,Small Business,Medium,Delayed,Basic,Advertisement,679.51,136.97,185.9,129.14,565.02,644.0,542.95,496.03,764.65,79.8,790.51,874.73,449.13,743.32,170.21,600.56,953.07,626.72,86.8,860.84
6,CUST1006,EMP106,ORD5006,2025-01-21,West,Indore,HR,Electronics,Phone,46711.11,15702.9,13,38281.5,30.63,2916.2,126986.47,17.6,44,1.4,Female,Pending,Debit Card,Regular,Low,Mobile App,Diploma,Permanent,Poor,India,Zone C,Manager_6,Supplier_6,Brand E,Consumer,Medium,In Transit,Platinum,Advertisement,244.69,780.97,55.97,878.99,925.33,969.24,736.05,482.82,822.18,728.57,957.66,535.03,269.26,708.86,494.93,184.76,871.45,891.1,558.11,122.2
37,CUST1037,EMP137,ORD5037,2025-01-21,Central,Mumbai,HR,Grocery,Watch,45023.08,23590.6,71,24589.17,25.34,22728.78,117989.57,0.2,18,2.6,Female,Completed,Cash,New,Medium,Store,Bachelor,Part-time,Poor,India,Zone A,Manager_17,Supplier_7,Brand A,Consumer,High,Delayed,Gold,Referral,721.85,308.39,85.37,188.39,898.69,956.5,300.63,358.91,771.99,408.6,349.02,423.17,263.57,449.96,500.54,266.09,463.5,921.9,288.92,376.71
26,CUST1026,EMP126,ORD5026,2025-01-22,North,Jaipur,Marketing,Beauty,Skincare,89202.26,21930.24,25,25693.56,16.45,10391.17,134490.25,18.3,37,2.8,Other,Completed,Credit Card,Premium,Low,Online,Diploma,Permanent,Excellent,India,Zone B,Manager_6,Supplier_11,Brand D,Small Business,Low,Cancelled,Basic,Direct,93.43,181.5,169.88,855.42,429.34,655.23,366.87,700.66,252.22,682.7,875.58,438.85,964.46,452.75,33.82,710.1,358.58,165.83,75.32,310.76
231,CUST1231,EMP171,ORD5231,2025-01-22,Central,Indore,Marketing,Furniture,Watch,51533.79,11028.72,48,39495.67,14.86,50283.5,92043.66,1.2,48,3.1,Other,Completed,Net Banking,Premium,Low,Online,Master,Permanent,Good,India,Zone A,Manager_11,Supplier_6,Brand A,Corporate,Low,In Transit,Platinum,Social Media,175.17,991.93,91.64,557.47,469.24,617.86,418.26,288.46,964.58,493.29,636.3,104.8,304.7,381.44,559.0,483.47,688.04,119.09,574.83,497.13
349,CUST1349,EMP129,ORD5349,2025-01-23,North,Kolkata,Marketing,Furniture,Watch,40543.44,19215.68,33,10623.22,26.12,14168.34,139062.2,17.1,28,2.0,Female,Cancelled,Debit Card,New,Critical,Mobile App,PhD,Part-time,Good,India,Zone B,Manager_9,Supplier_4,Brand C,Corporate,High,In Transit,Silver,Website,411.04,620.56,325.47,481.68,828.32,884.19,832.26,292.6,786.8,922.12,389.06,813.42,301.6,241.87,996.99,975.11,865.76,86.98,372.73,392.03
418,CUST1418,EMP118,ORD5418,2025-01-25,West,Mumbai,Marketing,Grocery,Shoes,68378.29,22720.81,94,4586.82,33.1,60001.81,26517.05,14.0,54,1.9,Other,Cancelled,Credit Card,Regular,High,Store,Master,Part-time,Poor,India,Zone D,Manager_18,Supplier_13,Brand B,Corporate,Medium,In Transit,Platinum,Advertisement,612.98,352.48,182.69,398.66,138.08,452.01,57.64,730.76,186.94,591.41,733.03,234.0,779.1,890.01,88.09,826.64,218.47,881.09,404.3,321.77
237,CUST1237,EMP177,ORD5237,2025-01-27,East,Delhi,Operations,Beauty,Headphones,52483.19,23845.4,31,1685.75,8.03,60539.2,146302.87,5.2,20,1.1,Female,Returned,Cash,Regular,Critical,Online,Diploma,Part-time,Average,India,Zone B,Manager_17,Supplier_12,Brand D,Corporate,High,Cancelled,Basic,Advertisement,251.66,917.05,761.97,681.8,156.63,546.28,113.65,143.3,887.41,325.67,147.3,994.85,660.12,691.63,922.87,146.17,883.99,695.63,271.09,721.07
121,CUST1121,EMP141,ORD5121,2025-01-28,Central,Bengaluru,Marketing,Clothing,Laptop,8222.66,19694.82,71,15970.67,22.91,15584.06,87440.37,15.1,36,1.5,Other,Completed,Net Banking,Regular,Critical,Mobile App,PhD,Permanent,Excellent,India,Zone D,Manager_1,Supplier_1,Brand D,Small Business,Low,In Transit,Basic,Website,543.89,313.41,98.87,302.76,244.81,487.96,918.85,93.24,417.82,160.96,848.14,906.27,253.08,331.0,333.83,874.58,385.66,205.95,14.8,918.76
92,CUST1092,EMP112,ORD5092,2025-01-28,South,Kolkata,Marketing,Electronics,Table,64786.57,13661.19,91,23469.68,35.95,40490.18,130718.78,10.3,39,1.2,Male,Returned,Debit Card,New,Low,Store,Diploma,Permanent,Excellent,India,Zone B,Manager_12,Supplier_2,Brand D,Small Business,Medium,In Transit,Silver,Direct,528.69,375.76,10.09,121.02,790.42,32.84,185.58,662.8,974.53,239.03,893.89,609.56,876.31,627.61,760.05,357.6,482.09,426.32,191.59,832.09
445,CUST1445,EMP145,ORD5445,2025-01-29,East,Delhi,Operations,Beauty,Watch,27091.64,22106.75,93,40162.28,1.24,8425.55,44495.71,18.7,33,3.0,Female,Pending,Debit Card,Premium,High,Online,Bachelor,Part-time,Excellent,India,Zone A,Manager_5,Supplier_10,Brand D,Consumer,Medium,Delayed,Gold,Website,773.64,624.52,997.38,875.89,328.83,683.45,927.01,458.47,583.53,34.36,227.81,700.48,503.9,976.1,896.88,842.53,826.5,466.12,406.56,724.52
227,CUST1227,EMP167,ORD5227,2025-02-02,South,Delhi,IT,Clothing,Phone,46944.82,-2074.57,75,30885.51,6.88,22092.56,21150.58,15.4,55,1.2,Male,Pending,Credit Card,Premium,Low,Mobile App,Diploma,Permanent,Average,India,Zone B,Manager_7,Supplier_2,Brand A,Small Business,High,In Transit,Silver,Social Media,852.24,746.42,66.49,688.28,567.83,638.72,819.32,752.52,112.4,822.66,721.0,822.65,895.91,832.87,883.21,227.22,321.68,93.21,20.52,239.87
95,CUST1095,EMP115,ORD5095,2025-02-02,West,Bhopal,Marketing,Clothing,Headphones,60069.89,12215.24,62,31353.49,15.36,55535.11,90944.84,12.0,43,4.9,Other,Completed,Credit Card,New,Medium,Mobile App,Master,Contract,Excellent,India,Zone D,Manager_15,Supplier_5,Brand D,Corporate,Medium,Delayed,Platinum,Website,869.81,956.55,965.63,796.35,596.41,361.59,565.4,379.14,61.14,350.75,381.14,694.23,930.74,539.5,682.29,889.34,116.55,185.22,74.76,691.48
51,CUST1051,EMP151,ORD5051,2025-02-04,South,Kolkata,Finance,Furniture,Laptop,28143.3,23586.9,57,16948.7,34.06,64841.74,60963.78,13.4,34,2.6,Female,Completed,Credit Card,Premium,High,Online,Bachelor,Permanent,Excellent,India,Zone A,Manager_11,Supplier_6,Brand B,Corporate,Medium,Cancelled,Gold,Website,196.22,777.79,199.46,752.87,34.98,40.12,103.78,293.8,265.31,697.36,661.82,67.42,358.97,135.38,191.34,610.93,902.98,63.45,507.47,575.09
376,CUST1376,EMP156,ORD5376,2025-02-04,Central,Pune,Finance,Grocery,Skincare,93052.01,21548.93,22,17093.19,25.23,69005.2,37281.45,2.1,50,4.7,Male,Pending,Debit Card,New,Low,Online,Bachelor,Part-time,Poor,India,Zone C,Manager_16,Supplier_1,Brand C,Consumer,High,Cancelled,Silver,Social Media,81.39,454.91,291.51,741.61,777.81,87.33,716.33,341.55,35.77,878.22,718.7,242.4,828.65,989.1,874.05,893.34,420.51,218.78,95.26,707.05
286,CUST1286,EMP146,ORD5286,2025-02-05,North,Mumbai,IT,Furniture,Phone,82281.7,24313.13,25,2297.61,34.65,53781.1,56347.88,13.3,51,1.0,Female,Cancelled,Net Banking,Premium,Critical,Online,PhD,Contract,Good,India,Zone A,Manager_6,Supplier_1,Brand B,Corporate,Medium,Delivered,Silver,Referral,292.84,935.91,345.2,226.46,724.0,203.65,202.22,621.88,631.74,667.0,97.94,641.75,670.69,259.37,541.88,255.2,797.1,980.82,722.65,346.5
116,CUST1116,EMP136,ORD5116,2025-02-05,West,Jaipur,IT,Clothing,Shoes,81763.96,7903.09,83,27867.16,27.79,9346.93,48282.89,0.3,56,3.4,Male,Returned,Debit Card,New,Medium,Store,Master,Contract,Poor,India,Zone C,Manager_16,Supplier_11,Brand C,Consumer,Medium,Delivered,Basic,Direct,447.89,616.1,186.01,547.74,64.37,826.36,487.5,527.44,253.47,108.48,661.4,883.92,843.04,519.0,129.59,925.15,218.83,936.72,257.83,47.9
196,CUST1196,EMP136,ORD5196,2025-02-06,East,Delhi,HR,Clothing,Laptop,67900.04,8464.41,88,34139.44,24.56,54796.76,151277.87,19.1,35,3.4,Male,Returned,Credit Card,Regular,Low,Online,PhD,Contract,Good,India,Zone D,Manager_16,Supplier_1,Brand B,Corporate,High,Delayed,Silver,Social Media,426.55,866.23,969.53,228.42,816.98,513.97,583.01,680.98,46.45,201.18,730.53,421.68,417.76,930.87,981.55,689.41,652.07,829.69,161.83,312.92
256,CUST1256,EMP116,ORD5256,2025-02-06,West,Mumbai,Marketing,Furniture,Phone,24418.05,607.43,48,27909.8,5.97,52842.13,113195.57,19.7,44,1.0,Male,Cancelled,Debit Card,New,High,Mobile App,Diploma,Contract,Good,India,Zone A,Manager_16,Supplier_1,Brand B,Consumer,High,In Transit,Basic,Direct,553.4,321.26,561.63,896.02,170.43,648.72,581.94,618.92,439.62,718.36,832.48,514.45,202.77,975.19,68.77,170.5,456.3,623.81,866.11,212.97
394,CUST1394,EMP174,ORD5394,2025-02-06,Central,Indore,Sales,Beauty,Phone,86649.11,-3949.76,48,42911.96,22.74,41790.73,67131.84,2.8,30,3.3,Male,Cancelled,UPI,Premium,High,Mobile App,Diploma,Permanent,Poor,India,Zone D,Manager_14,Supplier_4,Brand A,Corporate,Medium,In Transit,Basic,Direct,505.12,237.08,541.03,395.94,145.87,290.3,603.6,141.05,293.53,439.07,169.4,208.3,504.07,985.82,312.99,626.9,368.75,907.87,120.25,2.73
232,CUST1232,EMP172,ORD5232,2025-02-07,North,Indore,HR,Clothing,Table,9820.41,11222.04,27,37433.23,24.58,19924.19,65021.33,14.7,59,4.5,Male,Pending,UPI,Regular,Low,Online,PhD,Contract,Good,India,Zone A,Manager_12,Supplier_7,Brand D,Corporate,Low,In Transit,Silver,Website,473.78,345.4,112.27,643.94,511.32,786.99,698.93,249.02,478.7,498.35,849.27,958.3,52.97,831.38,125.94,689.48,651.99,193.17,603.51,219.09
423,CUST1423,EMP123,ORD5423,2025-02-08,East,Mumbai,IT,Beauty,Phone,66853.23,17403.3,50,14059.32,13.22,29338.55,82279.87,19.1,52,1.6,Female,Returned,Net Banking,New,Critical,Online,PhD,Permanent,Poor,India,Zone D,Manager_3,Supplier_3,Brand B,Corporate,High,Cancelled,Basic,Website,105.58,656.62,743.87,624.56,961.58,434.6,834.74,565.53,970.29,131.19,989.59,233.87,959.98,906.14,971.03,160.48,348.79,405.6,658.95,974.99
280,CUST1280,EMP140,ORD5280,2025-02-08,South,Pune,IT,Electronics,Shoes,4894.11,24710.85,19,46412.28,8.73,35307.83,104530.63,3.5,19,4.1,Female,Returned,Credit Card,Regular,Low,Mobile App,PhD,Contract,Average,India,Zone A,Manager_20,Supplier_10,Brand A,Small Business,Low,Delayed,Basic,Direct,941.26,514.95,72.68,763.02,489.33,807.18,283.92,530.46,931.92,782.06,352.48,906.02,225.4,684.72,541.3,42.74,642.06,845.11,473.17,284.61
466,CUST1466,EMP166,ORD5466,2025-02-08,Central,Kolkata,Operations,Grocery,Laptop,54922.84,18682.97,22,22281.96,17.44,12303.83,53693.04,1.9,56,1.2,Male,Pending,UPI,New,Medium,Online,Diploma,Contract,Excellent,India,Zone B,Manager_6,Supplier_1,Brand B,Small Business,Low,In Transit,Silver,Social Media,527.3,546.51,634.45,672.23,304.58,686.23,829.96,73.32,529.26,227.3,965.69,491.15,662.37,297.53,286.64,493.44,308.36,939.83,646.26,962.38
91,CUST1091,EMP111,ORD5091,2025-02-10,East,Pune,Marketing,Clothing,Skincare,41561.19,3266.44,96,33534.62,32.94,28185.34,51864.0,1.5,21,3.0,Other,Pending,Net Banking,New,High,Store,Diploma,Part-time,Average,India,Zone A,Manager_11,Supplier_1,Brand D,Corporate,Low,Delivered,Gold,Social Media,773.68,654.91,368.68,55.98,486.94,524.11,83.3,938.6,29.29,427.18,449.34,76.74,716.72,405.47,79.49,385.4,663.28,485.98,73.51,2.5
74,CUST1074,EMP174,ORD5074,2025-02-10,East,Indore,HR,Grocery,Rice,86356.61,2614.63,64,29538.4,32.54,54846.76,23704.86,20.0,48,3.9,Female,Pending,Debit Card,Regular,Critical,Store,Diploma,Contract,Excellent,India,Zone A,Manager_14,Supplier_14,Brand D,Consumer,Low,Delivered,Silver,Social Media,275.69,393.44,944.88,531.2,9.59,39.93,793.34,853.55,980.0,966.28,296.66,454.08,453.74,184.9,860.35,971.85,425.82,338.84,825.21,618.0
425,CUST1425,EMP125,ORD5425,2025-02-11,North,Indore,HR,Grocery,Laptop,78310.53,19794.64,58,33173.53,16.5,65577.05,110226.27,14.3,24,2.7,Other,Cancelled,Credit Card,Regular,Low,Store,Bachelor,Contract,Good,India,Zone D,Manager_5,Supplier_5,Brand D,Corporate,Medium,In Transit,Platinum,Website,500.49,400.6,310.02,831.53,987.6,760.21,268.38,495.47,349.93,672.25,263.48,429.26,208.09,397.52,638.71,387.82,33.73,344.01,22.32,406.27
369,CUST1369,EMP149,ORD5369,2025-02-12,East,Mumbai,Operations,Beauty,Headphones,42527.26,5645.82,36,38836.89,25.9,38793.74,82057.76,16.0,40,3.0,Female,Cancelled,UPI,Regular,Critical,Store,Master,Contract,Good,India,Zone B,Manager_9,Supplier_9,Brand C,Small Business,Medium,Delayed,Basic,Website,989.87,897.28,64.67,13.68,636.54,956.23,848.03,682.64,791.53,435.4,360.4,567.34,264.11,192.48,965.49,621.12,904.92,57.59,711.72,918.23
252,CUST1252,EMP112,ORD5252,2025-02-15,East,Bhopal,Sales,Grocery,Rice,6417.42,24457.17,21,44804.62,16.91,42454.24,70541.28,6.1,36,3.4,Female,Completed,Net Banking,Premium,High,Store,Diploma,Permanent,Good,India,Zone A,Manager_12,Supplier_12,Brand A,Small Business,High,Cancelled,Gold,Referral,343.82,445.85,318.8,471.24,496.36,137.1,298.59,694.89,421.23,229.42,898.27,650.18,682.18,122.74,802.12,601.1,366.81,966.65,622.45,58.9
310,CUST1310,EMP170,ORD5310,2025-02-16,East,Bhopal,Operations,Clothing,Rice,71155.95,-2237.14,75,35534.73,7.77,36873.17,72753.01,10.8,42,1.7,Male,Cancelled,UPI,New,Critical,Online,Master,Permanent,Average,India,Zone D,Manager_10,Supplier_10,Brand E,Consumer,High,Delayed,Gold,Website,195.84,903.75,783.92,221.66,441.51,354.57,992.72,767.51,324.89,620.64,923.23,186.69,831.72,981.78,753.09,493.58,621.82,957.64,851.1,175.23
338,CUST1338,EMP118,ORD5338,2025-02-16,Central,Kolkata,HR,Furniture,Table,29352.03,1614.51,76,27418.83,29.15,39971.62,153666.83,9.2,22,2.1,Female,Completed,Debit Card,Premium,High,Mobile App,Diploma,Part-time,Poor,India,Zone A,Manager_18,Supplier_8,Brand B,Consumer,Low,Cancelled,Basic,Referral,667.86,28.28,728.83,78.78,97.25,244.14,33.19,456.82,338.74,808.12,180.64,738.56,172.19,50.61,800.89,963.55,833.7,895.36,788.92,48.33
497,CUST1497,EMP117,ORD5497,2025-02-16,Central,Kolkata,Operations,Beauty,Shirt,16806.16,23353.43,48,25630.77,2.28,58565.45,123983.71,18.2,56,1.0,Other,Cancelled,Net Banking,Regular,Critical,Mobile App,Diploma,Permanent,Average,India,Zone D,Manager_17,Supplier_2,Brand B,Small Business,Low,Delivered,Silver,Direct,979.24,890.11,840.36,230.82,437.8,69.32,310.0,246.27,900.28,37.95,471.59,462.94,618.03,249.77,342.14,784.77,417.04,112.11,346.84,796.66
96,CUST1096,EMP116,ORD5096,2025-02-17,Central,Bhopal,IT,Beauty,Headphones,50464.28,7468.12,49,13995.69,26.65,68688.79,58909.92,6.4,28,3.2,Other,Returned,UPI,Premium,Critical,Mobile App,PhD,Permanent,Good,India,Zone D,Manager_16,Supplier_6,Brand A,Small Business,High,Delayed,Platinum,Direct,448.96,201.45,160.94,332.65,500.7,932.45,503.97,478.7,522.05,214.9,932.81,172.75,578.51,88.23,135.36,969.46,709.57,206.14,43.08,666.18
245,CUST1245,EMP105,ORD5245,2025-02-18,West,Mumbai,IT,Electronics,Phone,45869.94,4496.49,95,49472.65,12.92,14938.77,27272.34,1.1,26,4.2,Female,Cancelled,Credit Card,Premium,Medium,Store,Bachelor,Contract,Good,India,Zone D,Manager_5,Supplier_5,Brand D,Consumer,Medium,Cancelled,Platinum,Advertisement,77.65,7.84,124.5,394.13,606.83,684.54,600.47,983.16,67.19,5.93,615.08,918.93,13.12,759.16,197.6,863.03,613.6,486.83,700.13,9.92
295,CUST1295,EMP155,ORD5295,2025-02-20,South,Bhopal,Operations,Clothing,Chair,2937.6,-2778.73,28,44973.09,11.33,57440.65,34808.53,15.0,18,4.1,Male,Returned,UPI,Regular,Medium,Store,Master,Permanent,Good,India,Zone D,Manager_15,Supplier_10,Brand C,Corporate,Low,Cancelled,Silver,Website,581.34,797.26,840.34,246.92,864.68,471.65,763.6,44.3,289.45,973.61,468.1,15.5,721.47,816.68,985.48,464.27,670.99,448.52,721.77,307.25
305,CUST1305,EMP165,ORD5305,2025-02-22,Central,Jaipur,IT,Clothing,Skincare,11736.7,22765.67,42,1554.84,15.4,67745.22,56822.62,1.4,40,1.5,Other,Completed,Net Banking,Premium,Medium,Online,Diploma,Permanent,Good,India,Zone A,Manager_5,Supplier_5,Brand D,Small Business,Low,In Transit,Platinum,Direct,682.48,743.77,665.08,787.06,156.51,894.52,97.61,757.81,716.66,232.47,862.05,326.68,52.16,16.44,357.9,824.48,439.44,404.92,984.18,493.21
159,CUST1159,EMP179,ORD5159,2025-02-22,North,Kolkata,IT,Grocery,Phone,23234.43,733.56,79,8327.75,2.99,35957.26,111509.0,16.8,31,2.9,Male,Completed,Cash,Premium,Medium,Online,Diploma,Contract,Excellent,India,Zone C,Manager_19,Supplier_9,Brand E,Consumer,High,Delivered,Silver,Referral,415.08,811.41,862.38,29.78,179.85,941.41,225.5,570.55,571.9,182.77,554.36,989.93,938.47,329.69,445.82,977.96,153.0,161.64,253.03,19.21
